순위,지역,평균 PM10 농도
1,평택,58.491150442477874
2,이천,56.16444444444444
3,포천,55.81447963800905
4,양주,55.35111111111111
5,동두천,54.863013698630134
6,김포,54.309734513274336
7,화성,54.269911504424776
8,부천,53.876106194690266
9,고양,52.8716814159292
10,시흥,52.72566371681416
11,오산,52.306666666666665
12,파주,51.65486725663717
13,원주,51.530973451327434
14,청주,50.716814159292035
15,군포,50.67256637168141
16,익산,50.56194690265487
17,의왕,50.45575221238938
18,안양,49.94690265486726
19,안산,49.703539823008846
20,용인,49.61504424778761
21,광명,49.51327433628319
22,의정부,48.64159292035398
23,인천광역시,48.0353982300885
24,수원,47.96017699115044
25,구리,47.88444444444445
26,성남,47.610619469026545
27,하남,47.42035398230089
28,정읍,47.38565022421525
29,영주,47.36322869955157
30,과천,47.26106194690266
